  90,C      ,H2C3   ,C4H    ,H     ,   ,  , 2.0e-10, 0.00,     0.0,NE
  91,C      ,C3H4   ,C4H2   ,H2    ,   ,  , 4.0e-10, 0.00,     0.0,NE
  92,C      ,OCN    ,CO     ,CN    ,   ,  , 4.0e-11, 0.50,     0.0,NE
  93,C      ,CS     ,C2     ,S     ,   ,  , 1.4e-11, 0.50, 20435.0,NE
  94,C      ,NS     ,CN     ,S     ,   ,  , 2.0e-11, 0.50,     0.0,NE
  95,C      ,NS     ,CS     ,N     ,   ,  , 1.7e-11, 0.50,  4000.0,NE
  96,C      ,SO     ,CO     ,S     ,   ,  , 7.2e-11, 0.00,     0.0,NE
  97,C      ,SO     ,CS     ,O     ,   ,  , 1.7e-10, 0.00,     0.0,NE
  98,C      ,HPO    ,PH     ,CO    ,   ,  , 4.0e-11, 0.00,     0.0,NE
  99,C      ,C4H2   ,C5H    ,H     ,   ,  , 6.5e-10, 0.00,     0.0,NE
 100,C      ,S2     ,S      ,CS    ,   ,  , 1.7e-11, 0.50,     0.0,NE
 101,C      ,C5H2   ,C6H    ,H     ,   ,  , 6.5e-10, 0.00,     0.0,NE
 102,C      ,C5H4   ,C6H2   ,H2    ,   ,  , 6.5e-10, 0.00,     0.0,NE
 103,C      ,C6H2   ,C7H    ,H     ,   ,  , 5.3e-10, 0.00,     0.0,NE
 104,C      ,C7H2   ,C8H    ,H     ,   ,  , 7.4e-10, 0.00,     0.0,NE
 105,C      ,C7H4   ,C8H2   ,H2    ,   ,  , 8.0e-10, 0.17,     0.0,NE
 106,C      ,C8H2   ,C9H    ,H     ,   ,  , 8.4e-10, 0.00,     0.0,NE
 107,CH     ,CH4    ,CH2    ,CH3   ,   ,  , 2.3e-11, 0.70,  3000.0,NE
 108,CH     ,OH     ,HCO    ,H     ,   ,  , 1.4e-11, 0.50,  5000.0,NE
 109,CH     ,N2     ,HCN    ,N     ,   ,  , 1.0e-12, 0.00,  7000.0,NE
 110,CH     ,HCO    ,CH2    ,CO    ,   ,  , 2.9e-12, 0.70,   500.0,NE
 111,CH     ,NO     ,HCO    ,N     ,   ,  , 2.7e-11, 0.00,  5000.0,NE
 112,CH     ,NO     ,HCN    ,O     ,   ,  , 1.7e-10, 0.00,     0.0,NE
 113,CH     ,H2CO   ,CH2    ,HCO   ,   ,  , 9.2e-12, 0.70,  2000.0,NE
 114,CH     ,HNO    ,NO     ,CH2   ,   ,  , 1.7e-11, 0.50,     0.0,NE
 115,CH     ,O2     ,HCO    ,O     ,   ,  , 1.4e-11, 0.50,  3000.0,NE
 116,CH     ,O2H    ,CH2    ,O2    ,   ,  , 2.9e-13, 0.50,  7550.0,NE
 117,CH     ,O2H    ,HCO    ,OH    ,   ,  , 1.4e-11, 0.50,  3000.0,NE
 118,CH     ,CO2    ,HCO    ,CO    ,   ,  , 2.9e-13, 0.50,  3000.0,NE
 119,N      ,H2     ,NH     ,H     ,   ,  , 4.7e-10, 0.50, 16606.0,NE
 120,N      ,CH     ,CN     ,H     ,   ,  , 2.1e-11, 0.50,     0.0,NE
 121,N      ,CH2    ,HCN    ,H     ,   ,  , 2.0e-11, 0.50,     0.0,NE
 122,N      ,CH     ,NH     ,C     ,   ,  , 2.9e-11, 0.50,  6995.0,NE
 123,N      ,CH2    ,NH     ,CH    ,   ,  , 1.0e-12, 0.00, 20400.0,NE
 124,N      ,NH     ,N2     ,H     ,   ,  , 5.0e-11, 0.00,     0.0,NE
 125,N      ,CH3    ,H2CN   ,H     ,   ,  , 7.2e-11, 0.50,     0.0,NE
 126,N      ,CH3    ,HCN    ,H2    ,   ,  , 1.3e-11, 0.50,     0.0,NE
 127,N      ,OH     ,NO     ,H     ,   ,  , 5.3e-11,-0.25,     0.0,NE
 128,N      ,OH     ,NH     ,O     ,   ,  , 1.9e-11, 0.10, 10700.0,NE
